id,name,lat,lon,state,trend_per_decade,p_value,r_squared,n_points,std_error,start_year,mean_bias,bias_std,first_year,last_year,n_years
USH00220021,Unknown,33.83000183105469,-88.52140045166016,Unknown,0.0315196807560698,0.00022820119280936998,0.10180994260815837,129,0.008307473698652973,1895,0.7956225,0.37263057,1895,2024,129
USH00118740,Unknown,40.083900451660156,-88.24030303955078,Unknown,0.025345264331499848,2.304750498800773e-20,0.48588244744787273,131,0.0022954486415630118,1895,0.029587792,0.13802674,1895,2025,131
USH00451504,Unknown,47.18560028076172,-120.9468994140625,Unknown,0.12016280042458757,7.862456724022528e-12,0.3284962970542674,120,0.0158156849143489,1895,-1.082342,0.7592325,1899,2024,120
USH00447338,Unknown,36.976898193359375,-79.89610290527344,Unknown,0.04256037485892385,0.033899863996052826,0.03549650166703214,127,0.019843101997555866,1895,-0.7826559,0.85239345,1895,2024,127
USH00245015,Unknown,48.40359878540039,-115.53919982910156,Unknown,0.09239802410304923,6.188701766883652e-10,0.3089978390435535,106,0.013549023502118769,1895,-0.07947756,0.52011013,1895,2015,106
USH00315123,Unknown,36.10279846191406,-78.30390167236328,Unknown,-0.0406454611178725,1.570244346990514e-06,0.16784144377365098,128,0.008062694798190516,1895,-0.10808452,0.37268484,1895,2024,128
USH00335315,Unknown,40.76919937133789,-80.8561019897461,Unknown,0.07939564025790909,2.103527894964611e-14,0.3996430660487119,117,0.00907436741305984,1895,-1.3613248,0.427065,1895,2012,117
USH00410493,Unknown,31.74139976501465,-99.97640228271484,Unknown,0.020348423666259094,0.048119545480255606,0.030403603633486306,129,0.010196752455770683,1895,-0.06934321,0.43625876,1897,2025,129
USH00035754,Unknown,34.22560119628906,-92.0188980102539,Unknown,0.03194744023271369,0.0016584252758716804,0.07580467903861408,128,0.009937672261255335,1895,-0.33672053,0.43876666,1895,2024,128
USH00409219,Unknown,36.39250183105469,-89.03170013427734,Unknown,-0.100032511887826,1.6177794932428332e-25,0.5803439572173683,128,0.007578092620619516,1895,1.1470964,0.48843476,1896,2024,128
USH00202423,Unknown,44.28390121459961,-83.50360107421875,Unknown,-0.02583671983057744,7.73876637207677e-06,0.14840434970076605,127,0.005535741112433575,1895,0.07247237,0.25215602,1897,2025,127
USH00350412,Unknown,44.84280014038086,-117.80860137939453,Unknown,-0.08882410191469793,9.600979026698452e-15,0.3752014917318221,130,0.010131262174566434,1895,-0.15094872,0.5488673,1895,2025,130
